data,dia_semana,hora,natureza,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2021-11-11,quinta-feira ,16:27:00,SEM VÍTIMA,AFOGADOS,RUA,RUA QUITERIO INACIO DE MELLO,RUA,RUA CINCO DE NOVEMBRO,IMPORT PNEUS,AFOGADOS,553,SUBURBIO,,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,"Placas ""Pare""",,Única,Faixa seccionada,,
2021-11-11,quinta-feira ,17:58:00,COM VÍTIMA,ROSARINHO,AVENIDA,AVENIDA NORTE MIGUEL ARRAES DE ALENCAR,,,ANTES DO EDIFICIO FORTE DOS REIS MAGOS,ROSARINHO,,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,"Placas ""Pare""",60 km/h,Dupla,Faixa seccionada,Canteiro central,
2021-11-11,quinta-feira ,18:37:00,COM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,EM CIMA DO VIADUTO SENTIDO OLINDA -,SANTO AMARO,,,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
2021-11-11,quinta-feira ,20:17:00,COM VÍTIMA,TAMARINEIRA,AVENIDA,AVENIDA NORTE MIGUEL ARRAES DE ALENCAR,AVENIDA,AVENIDA PROFESSOR JOSE DOS ANJOS,EM FRENTE AO SESC,TAMARINEIRA,364,CIDADE,COLISÃO FRONTAL,0,1,0,0,0,0,0,0,0,2,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não hA placas,,Dupla,Canteiro central,,
2021-11-12,sexta-feira ,09:32:00,SEM VÍTIMA,MANGUEIRA,RUA,RUA SAO MIGUEL,,,AO LADO DO ATACAREJO,MANGUEIRA,,,COLISÃO LATERAL,0,1,0,0,0,0,0,1,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Faixa contínua,,
2021-11-12,sexta-feira ,11:22:00,COM VÍTIMA,CORDEIRO,EST,EST DO FORTE DO ARRAIAL N. DO B. JESUS,,,E/F A P.A PESCADOS,CORDEIRO,,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Faixa contínua,,
2021-11-12,sexta-feira ,11:32:00,COM VÍTIMA,BOA VISTA,RUA,RUA TABIRA,AVENIDA,AVENIDA MONTEVIDEU,APOS O BRADESCO AUTO CENTER,BOA VISTA,,CIDADE,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Única,Faixa seccionada,,
2021-11-12,sexta-feira ,11:57:00,SEM VÍTIMA,BAIRRO DO RECIFE,RUA,RUA DO PRINCIPE,,,PROX A IGREJA CONGREGACIONAL,BAIRRO DO RECIFE,,,ENGAVETAMENTO,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2021-11-12,sexta-feira ,12:31:00,COM VÍTIMA,MADALENA,RUA,RUA BENFICA,,,EM FRENTE AO EDIFICIO CRISTINA,MADALENA,,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,,Dupla,Faixa contínua,,
2021-11-12,sexta-feira ,14:01:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA BOA VIAGEM,RUA,RUA RIBEIRO DE BRITO,EM FRENTE AO EDIFICIO QUEEN MARY,BOA VIAGEM,,CIDADE,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não hA placas,60 km/h,Única,Faixa seccionada,,
2021-11-12,sexta-feira ,14:09:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA CONSELHEIRO AGUIAR,,,AO LADO DO BANCO SANTANDER,BOA VIAGEM,,CIDADE,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,"Placas ""Pare""",,Única,Faixa seccionada,,
2021-11-12,sexta-feira ,15:33:00,SEM VÍTIMA,MADALENA,RUA,RUA MONSENHOR SILVA,,,PROXIMO AO MINUTO PÃO DE AÇÚCAR,MADALENA,,,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não hA placas,,,Não existe,,
2021-11-12,sexta-feira ,16:41:00,COM VÍTIMA,SAO JOSE,AVENIDA,AVENIDA DANTAS BARRETO,,,EM FRENTE AO NE 906,SÃO JOSÉ,,SUBURBIO,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Dupla,Faixa contínua,,
