data,dia_semana,hora,natureza_acidente,bairro,logradouro_endereco,endereco,logradouro_detalhe_endereço,detalhe_endereco_acidente,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via
2020-01-01,quarta-feira ,01:04:00,SEM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA CAXANGA,AV,AV GENERAL SAN MARTIN,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,60 km/h
2020-01-01,quarta-feira ,02:16:00,SEM VÍTIMA,AREIAS,AVENIDA,AVENIDA RECIFE,,,CHOQUE VEÍCULO PARADO,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-01,quarta-feira ,02:22:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA BOA VIAGEM,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-01,quarta-feira ,03:33:00,SEM VÍTIMA,PAISSANDU,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-01,quarta-feira ,04:18:00,SEM VÍTIMA,BARRO,AVENIDA,AVENIDA DR JOSE RUFINO,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Ilegível,Seca,Mal conservada,Não existe,Não há placas,
2020-01-01,quarta-feira ,04:47:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA CONSELHEIRO AGUIAR,AV,AV HERCULANO BANDEIRA,CHOQUE OBJETO FIXO,1,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-01,quarta-feira ,09:06:00,COM VÍTIMA,PINA,AVENIDA,AVENIDA CELSO FURTADO (VIA MANGUE),,,CHOQUE OBJETO FIXO,,1,,,,,,,,2,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Não há placas,60 km/h
2020-01-01,quarta-feira ,10:07:00,COM VÍTIMA,MADALENA,EST,EST DOS REMEDIOS,,,CHOQUE OBJETO FIXO,1,,,,,,,,,1,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,
2020-01-01,quarta-feira ,12:09:00,SEM VÍTIMA,NOVA DESCOBERTA,RUA,RUA NOVA DESCOBERTA,,,CHOQUE VEÍCULO PARADO,1,,,,,,1,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-01,quarta-feira ,15:00:00,SEM VÍTIMA,ROSARINHO,RUA,RUA CAPITAO SAMPAIO XAVIER,,,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2020-01-01,quarta-feira ,15:03:00,SEM VÍTIMA,TORROES,RUA,RUA QUINZE DE MARCO,AV,AV ENGENHEIRO ABDIAS DE CARVALHO,COLISÃO TRASEIRA,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,40 km/h
2020-01-01,quarta-feira ,16:46:00,SEM VÍTIMA,BOMBA DO HEMETERIO,RUA,RUA BOMBA DO HEMETERIO,,,COLISÃO FRONTAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,
2020-01-01,quarta-feira ,16:56:00,SEM VÍTIMA,SAN MARTIN,RUA,RUA VINTE E UM DE ABRIL,RUA,RUA OUREM,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-01,quarta-feira ,23:46:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA DEZ DE JULHO,RUA,RUA CAMBOIM,COLISÃO FRONTAL,1,1,,,,,,,,1,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Placas Pare,
2020-01-01,quarta-feira ,23:50:00,SEM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,AV,AV GENERAL SAN MARTIN,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-02,quinta-feira ,06:14:00,COM VÍTIMA,AREIAS,AVENIDA,AVENIDA RECIFE,RUA,RUA GONCALVES DE MAGALHAES,ABALROAMENTO LONGITUDINAL,,1,,,,1,,,,1,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h
2020-01-02,quinta-feira ,07:20:00,SEM VÍTIMA,PAISSANDU,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,60 km/h
2020-01-02,quinta-feira ,08:48:00,SEM VÍTIMA,IPSEP,RUA,RUA JEAN EMILE FAVRE,RUA,RUA ARQUITETO LUIZ NUNES,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-02,quinta-feira ,08:56:00,SEM VÍTIMA,MADALENA,RUA,RUA DES LUIZ SALAZAR,RUA,RUA PESSOA DE MELO,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,R-6a,
2020-01-02,quinta-feira ,09:14:00,SEM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,RUA,RUA CAFESOPOLIS,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-02,quinta-feira ,10:33:00,COM VÍTIMA,BARRO,AVENIDA,AVENIDA DR JOSE RUFINO,RUA,RUA MAJOR CHAGAS DE OLIVEIRA,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,1,,Cruzamento,Bom,Não existe,,Seca,Mal conservada,Não existe,Não há placas,
2020-01-02,quinta-feira ,12:21:00,COM VÍTIMA,BOA VIAGEM,RUA,RUA VISCONDE DE JEQUITINHONHA,,,COLISÃO TRASEIRA,1,1,,,,,,,,1,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Não há placas,
2020-01-02,quinta-feira ,13:09:00,SEM VÍTIMA,ENGENHO DO MEIO,RUA,RUA GOVERNADOR LOPO GARRO,RUA,RUA LINDOLFO COLOR,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,,Seca,,Não existe,Placas Pare,
2020-01-02,quinta-feira ,14:12:00,SEM VÍTIMA,JORDAO,RUA,RUA DES EVANDRO NETTO,RUA,RUA DR ALVARO FERRAZ,ABALROAMENTO LONGITUDINAL,1,,,,,1,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,
2020-01-02,quinta-feira ,14:36:00,COM VÍTIMA,PRADO,RUA,RUA JOAO IVO DA SILVA,,,COLISÃO COM CICLISTA,,1,,1,,,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2020-01-02,quinta-feira ,15:23:00,SEM VÍTIMA,ILHA DO RETIRO,EST,EST DOS REMEDIOS,AV,AV ENGENHEIRO ABDIAS DE CARVALHO,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,
2020-01-02,quinta-feira ,16:01:00,COM VÍTIMA,IPUTINGA,AVENIDA,AVENIDA CAXANGA,AV,AV LUIZ DE LACERDA,COLISÃO TRASEIRA,1,1,,,,,,,,1,,Esquina,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,
2020-01-02,quinta-feira ,16:07:00,COM VÍTIMA,FUNDAO,AVENIDA,AVENIDA BEBERIBE,RUA,RUA CORONEL URBANO RIBEIRO DE SENA,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,1,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2020-01-02,quinta-feira ,16:39:00,SEM VÍTIMA,MACAXEIRA,AVENIDA,AVENIDA NORTE,,,CHOQUE VEÍCULO PARADO,1,,,,,1,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60 km/h
2020-01-02,quinta-feira ,16:52:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA BARAO DE SOUZA LEAO,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h
2020-01-02,quinta-feira ,17:16:00,SEM VÍTIMA,BAIRRO DO RECIFE,AVENIDA,AVENIDA ALFREDO LISBOA,,,ABALROAMENTO LONGITUDINAL,1,,,,,,1,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Mal iluminada,,Outras,30 km/h
2020-01-02,quinta-feira ,17:42:00,SEM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,COLISÃO TRASEIRA,1,1,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6c,60 km/h
2020-01-02,quinta-feira ,20:13:00,COM VÍTIMA,MADALENA,RUA,RUA JOSE OSORIO,,,CHOQUE VEÍCULO PARADO,3,,,,,,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,,
2020-01-02,quinta-feira ,23:55:00,COM VÍTIMA,BONGI,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,COLISÃO TRASEIRA,1,1,,,,,,,,2,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,,
2020-01-03,sexta-feira ,00:39:00,SEM VÍTIMA,CORDEIRO,RUA,RUA ODETE MONTEIRO,AV,AV PROFESSOR ESTEVAO FRANCISCO DA COSTA,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Intermitente,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-03,sexta-feira ,06:41:00,SEM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA MARECHAL MASCARENHAS DE MORAES,,,COLISÃO TRASEIRA,1,,,,,,1,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,06:42:00,SEM VÍTIMA,ENCRUZILHADA,RUA,RUA CASTRO ALVES,,,ABALROAMENTO LONGITUDINAL,1,,,,,1,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,
2020-01-03,sexta-feira ,07:44:00,SEM VÍTIMA,CURADO,RUA,RUA DR GEORGE WILLIAM BUTLER,,,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60 km/h
2020-01-03,sexta-feira ,07:53:00,COM VÍTIMA,BOA VISTA,RUA,RUA AURORA,AV,AV MARIO MELO,COLISÃO COM CICLISTA,,1,,1,,,,,,1,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,
2020-01-03,sexta-feira ,08:04:00,SEM VÍTIMA,SAO JOSE,AVENIDA,AVENIDA SUL,,,COLISÃO TRASEIRA,3,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2020-01-03,sexta-feira ,08:08:00,COM VÍTIMA,IBURA,LAD,LAD DA COHAB,,,COLISÃO TRASEIRA,1,1,,,,,1,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,08:10:00,SEM VÍTIMA,IMBIRIBEIRA,AVENIDA,AVENIDA GENERAL MAC ARTHUR,,,ABALROAMENTO LONGITUDINAL,3,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Agente,Não há placas,40 km/h
2020-01-03,sexta-feira ,08:44:00,COM VÍTIMA,CABANGA,RUA,RUA NOVA DA CABANGA,AV,AV SATURNINO DE BRITO,ABALROAMENTO LONGITUDINAL,1,1,,,,,,,,2,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,,
2020-01-03,sexta-feira ,09:06:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,,,COLISÃO TRASEIRA,1,,,,,1,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,
2020-01-03,sexta-feira ,09:16:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA HERCULANO BANDEIRA,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2020-01-03,sexta-feira ,09:46:00,SEM VÍTIMA,IMBIRIBEIRA,RUA,RUA ALFREDO MARCONDES,,,COLISÃO TRASEIRA,1,,,,,,1,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,10:42:00,SEM VÍTIMA,TORROES,AVENIDA,AVENIDA ENGENHEIRO ABDIAS DE CARVALHO,,,COLISÃO TRASEIRA,4,,,,,,,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,60 km/h
2020-01-03,sexta-feira ,10:48:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA PADRE BERNADINO PESSOA,RUA,RUA DOS NAVEGANTES,CHOQUE VEÍCULO PARADO,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,30 km/h
2020-01-03,sexta-feira ,10:54:00,SEM VÍTIMA,AREIAS,AVENIDA,AVENIDA RECIFE,AV,AV CAPITAO GREGORIO DE CALDAS,ABALROAMENTO LONGITUDINAL,3,,,,,1,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Não há placas,60 km/h
2020-01-03,sexta-feira ,11:41:00,SEM VÍTIMA,FUNDAO,AVENIDA,AVENIDA BEBERIBE,RUA,RUA AURIFLAMA,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,50 km/h
2020-01-03,sexta-feira ,13:27:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA RIBEIRO DE BRITO,RUA,RUA GENERAL AMERICANO FREIRE,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,13:54:00,SEM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA CRUZ CABUGA,,,COLISÃO TRASEIRA,1,,,,,1,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,
2020-01-03,sexta-feira ,14:04:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA CELSO FURTADO (VIA MANGUE),RUA,RUA TOME GIBSON,ABALROAMENTO LONGITUDINAL,1,1,,,,,,,,2,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60 km/h
2020-01-03,sexta-feira ,14:19:00,COM VÍTIMA,APIPUCOS,RUA,RUA DOIS IRMAOS,,,COLISÃO TRASEIRA,1,1,,,,,,,,1,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-03,sexta-feira ,14:53:00,SEM VÍTIMA,CORDEIRO,AVENIDA,AVENIDA CAXANGA,RUA,RUA SOUZA BANDEIRA,COLISÃO TRASEIRA,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60 km/h
2020-01-03,sexta-feira ,15:24:00,SEM VÍTIMA,MADALENA,RUA,RUA REAL DA TORRE,RUA,RUA JOSE OSORIO,COLISÃO TRASEIRA,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,,50 km/h
2020-01-03,sexta-feira ,15:46:00,COM VÍTIMA,DERBY,RUA,RUA HENRIQUE DIAS,AV,AV GOVERNADOR AGAMENON MAGALHAES,ABALROAMENTO LONGITUDINAL,1,1,,,,,,,,1,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,R-6a,
2020-01-03,sexta-feira ,15:53:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA DOM JOAO VI,RUA,RUA PEDRO PAES MENDONCA,COLISÃO TRASEIRA,1,1,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h
2020-01-03,sexta-feira ,16:49:00,SEM VÍTIMA,PRADO,RUA,RUA PANDIA CALOGERAS,,,ABALROAMENTO TRANSVERSAL,1,,,,,1,,,,0,,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,17:05:00,SEM VÍTIMA,AGUA FRIA,EST,EST VELHA DE AGUA FRIA,,,COLISÃO FRONTAL,2,,,,,,,,1,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,
2020-01-03,sexta-feira ,18:37:00,SEM VÍTIMA,CASA FORTE,RUA,RUA LEONARDO BEZERRA CAVALCANTE,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,18:42:00,SEM VÍTIMA,ESPINHEIRO,AVENIDA,AVENIDA JOAO DE BARROS,AV,AV GOVERNADOR AGAMENON MAGALHAES,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,
2020-01-03,sexta-feira ,21:41:00,SEM VÍTIMA,GRACAS,AVENIDA,AVENIDA CONS ROSA E SILVA,,,COLISÃO FRONTAL,1,1,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,40 km/h
2020-01-03,sexta-feira ,21:54:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA DEZ DE JULHO,RUA,RUA CAMBOIM,COLISÃO TRASEIRA,1,,,,,1,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-03,sexta-feira ,23:42:00,SEM VÍTIMA,IPSEP,RUA,RUA VIRGINIA HERACLIO,RUA,RUA ALVORADA,ABALROAMENTO LONGITUDINAL,1,1,,,,,,,,0,,Cruzamento,Bom,Não existe,Incompleta,Seca,Mal iluminada,Não existe,Não há placas,
2020-01-03,sexta-feira ,23:52:00,SEM VÍTIMA,AFOGADOS,RUA,RUA QUITERIO INACIO DE MELLO,RUA,RUA SAO MIGUEL,ABALROAMENTO LONGITUDINAL,1,,,,,,1,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Não há placas,
2020-01-04,sábado ,02:18:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA DEZ DE JULHO,RUA,RUA WALDEMAR NERY CARNEIRO MONTEIRO,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Intermitente,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-04,sábado ,08:34:00,SEM VÍTIMA,SAO JOSE,RUA,RUA FLORIANO PEIXOTO,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-04,sábado ,09:06:00,COM VÍTIMA,HIPODROMO,RUA,RUA PRUDENTE DE MORAES,RUA,RUA MARQUES DE ABRANTES,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,1,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,30 km/h
2020-01-04,sábado ,10:10:00,SEM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA ENGENHEIRO DOMINGOS FERREIRA,RUA,RUA ERNESTO DE PAULA SANTOS,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h
2020-01-04,sábado ,11:23:00,SEM VÍTIMA,LINHA DO TIRO,RUA,RUA ALTO DOS COQUEIROS,,,ABALROAMENTO LONGITUDINAL,,,,,,1,1,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-04,sábado ,11:34:00,SEM VÍTIMA,SANTO AMARO,RUA,RUA TREZE DE MAIO,AV,AV DA SAUDADE-,ABALROAMENTO TRANSVERSAL,1,,,,,1,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,40 km/h
2020-01-04,sábado ,13:01:00,SEM VÍTIMA,DERBY,RUA,RUA DA BAIXA VERDE,RUA,RUA FELICIANO GOMES,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-04,sábado ,13:06:00,SEM VÍTIMA,MANGABEIRA,AVENIDA,AVENIDA NORTE,,,CHOQUE OBJETO FIXO,1,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-04,sábado ,13:52:00,SEM VÍTIMA,ESPINHEIRO,RUA,RUA CONS PORTELA,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,,
2020-01-04,sábado ,14:31:00,SEM VÍTIMA,DERBY,RUA,RUA JORNALISTA PAULO BITTENCOURT,RUA,RUA DA BAIXA VERDE,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,
2020-01-04,sábado ,15:11:00,SEM VÍTIMA,SANTO AMARO,AVENIDA,AVENIDA GOVERNADOR AGAMENON MAGALHAES,,,COLISÃO TRASEIRA,3,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,,,Outras,60 km/h
2020-01-04,sábado ,15:12:00,COM VÍTIMA,IMBIRIBEIRA,RUA,RUA ARQUITETO LUIZ NUNES,,,ABALROAMENTO TRANSVERSAL,1,1,,,,,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,40 km/h
2020-01-04,sábado ,15:33:00,SEM VÍTIMA,CAXANGA,AVENIDA,AVENIDA CAXANGA,,,COLISÃO TRASEIRA,1,1,,,,,,,,0,,Longo da via,Bom,,Perfeito estado,Seca,Perfeito estado,,R-6a,
2020-01-04,sábado ,16:01:00,SEM VÍTIMA,CASA AMARELA,RUA,RUA CASA AMARELA,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,
2020-01-04,sábado ,18:08:00,COM VÍTIMA,BOA VIAGEM,AVENIDA,AVENIDA GENERAL MAC ARTHUR,RUA,RUA DUQUE ESTRADA,ABALROAMENTO LONGITUDINAL,1,1,,,,,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Não há placas,40 km/h
2020-01-04,sábado ,18:22:00,SEM VÍTIMA,AREIAS,AVENIDA,AVENIDA RECIFE,,,COLISÃO TRASEIRA,1,,,,,,1,,,0,,Viaduto,Bom,Não existe,Incompleta,Seca,,Não existe,,
2020-01-04,sábado ,19:29:00,SEM VÍTIMA,JARDIM SAO PAULO,RUA,RUA LORENA,RUA,RUA LEANDRO BARRETO,CHOQUE OBJETO FIXO,2,,,,,,,,,0,,Cruzamento,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Não há placas,
2020-01-05,domingo ,10:26:00,SEM VÍTIMA,BOA VIAGEM,RUA,RUA MARQUES DE VALENCA,,,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-05,domingo ,13:28:00,SEM VÍTIMA,GRACAS,RUA,RUA DO ESPINHEIRO,,,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,
2020-01-05,domingo ,14:29:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA ANTONIO DE GOES,RUA,RUA CACILDA IOLANDA PORCIUNCULA,COLISÃO TRASEIRA,3,,,,,,,,,0,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-19,40 km/h
2020-01-05,domingo ,16:05:00,COM VÍTIMA,MADALENA,RUA,RUA PROFESSOR BENEDITO MONTEIRO,,,COLISÃO TRASEIRA,1,1,,,,,,,,1,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,
2020-01-05,domingo ,17:07:00,SEM VÍTIMA,PINA,AVENIDA,AVENIDA CONSELHEIRO AGUIAR,RUA,RUA TOME GIBSON,ABALROAMENTO TRANSVERSAL,1,,,,,1,,,,0,,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,
2020-01-05,domingo ,19:23:00,COM VÍTIMA,MUSTARDINHA,RUA,RUA VINTE E UM DE ABRIL,RUA,RUA JOAO LEITE,ATROPELAMENTO,,1,,,1,,,,,2,,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,
2020-01-05,domingo ,19:31:00,SEM VÍTIMA,ROSARINHO,AVENIDA,AVENIDA SANTOS DUMONT,,,COLISÃO TRASEIRA,2,,,,,,,,,0,,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,
